FF76,Spoon,45.00
WW88,Donkey,56.00
ZR62,Sun,20.00
EZ65,Cello,76.00
FC33,Shoulder,62.00
PV73,Pasta,61.00
GO80,Horse,21.00
YS54,Couch,40.00
FT32,Toy,50.00
HC92,Egg,25.00
QO49,Underwear,16.00
AQ28,Butter,40.00
NO33,Ring,71.00
BD35,Taxi,99.00
GM89,Wheelchair,81.00
QN84,Market,6.00
XN82,Bus stop,4.00
ME76,Costume,5.00
VT94,Garlic,91.00
QO72,Flag,70.00
VC64,Book,83.00
AA89,Sky,57.00
QP74,Ginger,89.00
KG2,Fish,79.00
DN76,Toothbrush,11.00
AZ54,Guitar,32.00
MF61,Village,46.00
QR90,Grains,17.00
CV93,Cello,25.00
BU49,Drum,87.00
ZN70,Air Conditioner,2.00
AU49,Refrigerator,44.00
BR99,Shirt,44.00
QI90,Mango,10.00
MG4,Guava,65.00
TS7,Canoe,62.00
AP35,Balloon,94.00
UV34,Pad,35.00
IY2,Salt,31.00
QK68,Antlers,26.00
KA33,Hostel,52.00
ON68,Supermarket,20.00
IT87,Water,58.00
BY33,Wheelchair,78.00
